Species,Plant Type,flag,Height,flag,Leaf Shape,flag,Leaf size (length x width in cm or mm),flag,Bark type,flag,Leaf Apex and Base,flag,pod/fruit width,flag,"Leaf Type (Simple, Compound)",flag,Pinna pairs number,flag,Fruit Shape,flag,Pod weight,flag,Pod or Fruit length,flag,,
macaranga peltata,Tree,0,Up to 10 m tall,1,Ovate,0,13-25 cm x 12-21 cm,0,Smooth,0,"Base broadly rounded, deeply 3-6 cm peltate; Apex acute, sometimes with a narrow 10 mm long acumen",0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,"small, rounded or ovoid capsule",1,Not applicable,0,1-2  cm,1,25,
phoenix canariensis,Tree,0,10-13 m tall,0,long rigid leaves,0,5-7 m long,0,Thick with persistent leaf sheaths forming a fibrous net,0,cylinder of clasping leaf sheaths toward the apex of the stem,1,Not applicable,0,Compound,1,About 150 pairs,0,Ovoid,0,Not applicable,0,2-3 cm,0,25,
acer rubrum,Tree,0,Up to 35 m,0,Sharply but shallowly lobed,0,9-11 cm long,1,"bark is smooth and light gray. On old trunks, the bark is thick, dark gray",1,Acute or short-acuminate,0,Not applicable,0,Simple,1,Not applicable (simple leaves),0," paired, winged, fruit is in a ""V"" shaped",1,Not applicable,0,Mericarps mostly 2-4 cm,0,25,
sabal palmetto,Tree,0,Up to 20 m,1,"curved, costapalmate, fan-shaped leaves",1,55-120 cm x 2.5-4.2 cm,0,smooth and greenish to light brown,1,"Apices bifid 2-cleft, hastula acute to acuminate, 5.3-18 cm",0,Not applicable,0,"Compound, costapalmate",0,Not applicable,1,Spheroid,0,Not applicable,0,8-13.8 mm,0,25,
acer saccharinum,Tree,0,Tree to 30 m,0,Deeply 5-lobed,0,"8-16 cm long, 6-15 cm wide",1,Light gray bark separating in large plates,0,Terminal lobe concavely narrowed to the base,0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,two winged seeds connected at their bases,1,Not applicable,0,Mericarps 3.5-5+ cm,0,25,
larix decidua,Tree,0,"25-30 m tall, up to 50 m in native range",0,Linear,0,2-3 cm x 0.5-1 mm,0,Cracking into irregular plates,0,leaf apex of Larix decidua is typically pointed or acuminate,1,0.7-1.3 cm,0,Simple,1,Not applicable,0,Ovoid or ovoid-oblong,0,Not applicable,0,0.8-1.5 cm,0,25,
prosopis juliflora,Shrub or tree,0,3-7 m tall,0,Linear-oblong,0,12-17 cm long,0,"Dark, thick, and fissured bark",0,"linear-oblong, apex sub-obtuse, mucronulate, sub-pubescent to sub-glabrous",0,0.8-1.0 cm,1,Bipinnately compound,0,"1, 2 (3) pairs",0,cylindrical or slightly irregularly curved green pod,1,9.6 gram,1,15-22 cm long,0,25,
robinia pseudoacacia,Tree,0,3-25 m,0,Oval or elliptic,0,15-36 cm long,1,"Thick, deeply furrowed, blackish",0,leaf apex of each leaflet is typically rounded or slightly emarginate,1,1-1.3(-1.7) cm,0,"Compound, imparipinnate",0,4-6,0,flat and smooth pea-like pod,1,2-5 gram,1,5-10 cm,0,25,
anogeissus latifolia,Tree,0,"Up to 24 m tall, but normally of smaller size",0,Broadly elliptic or ovate,0,5-10 x 3-5 cm,0,"Whitish grey, smooth",0,Obtuse or shortly retuse,0,0.5-1 cm,1,Simple,0,Not applicable,1,Orbicular,0,0.1-0.3 gram,1,6-8 mm,1,25,
abies alba,Tree,0,Up to over 60 m (tallest tree in Europe!),0,Flattened,0,1.8–3.0 cm x 20 mm,1,"Light gray, relatively smooth when young",0,Apex notched,0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Cones,0,Not applicable,0,9–17 cm,1,25,
betula nigra,Tree,0,Tree to 30 m,0,ovate-oblong or deltoid-ovate,0,4–8 cm,0,"exfoliating in thin layers, scaly-roughened on larger trunks",0,"acute, cuneate base",0,,,Simple,0,,,depressed-ovate,0,,,,,21,
syagrus romanzoffiana,Herb,0,Around 5 m,0,long pinnate leaves ,0,,,Not applicable,0,"Apex acuminate, asymmetric",0,Not applicable,0,"Compound, pinnate",1,more than 300,1,Ovoid,0,Not applicable,0,3.0-3.5 cm,0,24,
quercus laurifolia,Tree,0,25 m (maximum),0,"Narrowly oblong to lanceolate, elliptic, rhombic, or narrowly obovate",0,5.5-9 cm x 1.5-3 cm,0,"Dark brown to black, with flat ridges and deep furrows",0,"Rounded-obtuse at the tip, tapering to a narrow, acute base",0,,,simple,0,Not applicable (simple leaves),0,Hemispherical acorn,1,Not applicable,0,Acorns 1.5 cm,0,24,
fraxinus pennsylvanica,Tree,0,Up to 25 m,0,"Lanceolate, lance-ovate to oblong or elliptic",0,15–30 cm long,1,Flaky,0,"Acuminate to a blunt or acute tip, acute or broadly cuneate and often inequilateral at base, usually ± decurrent onto the petiolule",0,"Wing 3-8 mm wide, usually 5-6 mm",0,Compound,0,5-11 leaflets,1,samara,1,,,2.5 - 7.5 cm,1,24,
ilex opaca,Bushy shrub or small tree,0,Up to 15 m,0,Elliptic to oblong or ovate,0,5–10 cm,0," light gray, roughened by small warty lumps",1,Tipped with a stout spine,0,6-12 mm,1,Simple,0,0,0,small red drupe,1,,,,,23,
fraxinus americana,Tree,0,Up to 40 m,0,Oblong to ovate or obovate,0,,,Becoming rather finely and closely reticulate-ridged,0,Usually abruptly acuminate,0,,,Compound,0,7 leaflets,1,,,,,3-5 cm,0,21,
tilia americana,Tree,0,Up to 40 m,0,Broadly ovate to subrotund,0,"7-15 cm, broadly ovate to subrotund",0,"grey, narrow, well defined fissures",1,Cordate or truncate at base,0,8-10 mm,1,Simple,0,Not applicable (simple leaves),0,Subglobose,0,Not applicable,0,,,24,
chilopsis linearis,Shrub or small tree,0,2-9 m tall,0,Linear to linear-lanceolate,0,"(4-)5.5-9(-12.5) cm long, (2.8-)4-7(-10) mm wide",0,,,,,(4.5-)5-7(-8.5) mm wide,0,Simple,0,,,Capsule,0,,,13-32 cm long,0,21,
quercus ilex,Shrub or tree,0,Up to 20 m,0,Broad-lanceolate or oval,0,3-6 cm long,0,"Light gray, ± smooth",0,rounded or broadly tapered at the base,1,,,Simple,0,Not applicable,0,Acorns,1,,,12-18 mm,1,23,
cupaniopsis anacardioides,Tree,0,10-17 m tall,0,obovate,0,13-20 cm long,0, brown with raised horizontal lines.,1,apex retuse,0,,,"Compound, imparipinnate",0,6-10 leaflets,1,pyriform 3-4-sided,0,,,,,22,
pistacia chinensis,Deciduous tree,0,About 20 m tall,0,"Lanceolate to ovate-lanceolate, or rarely linear-lanceolate",0,20-25 cm,1,Dark brown,0,"Base oblique, apex acuminate or long acuminate",0,,,Imparipinnately compound,0,10-12 pairs,1,"Obovate-globose, slightly compressed",0,,,,,22,
juglans nigra,Tree,0,40 m (up to 50 m),0,"Lanceolate or ovate-lanceolate, symmetric or weakly falcate",0,20-60 cm long,0,"Medium to dark gray or brownish, deeply split into narrow rough ridges",0,Apex acuminate,0,Not applicable,0,"compound, pinnate",1,15–23 leaflets,1,"Subglobose to globose, rarely ellipsoid",0,Not applicable,0,,,24,
alnus nepalensis,Tree,0,10-15 m tall,0,"Obovate-lanceolate, obovate-oblong, ovate, or elliptic",0,4-16 cm x 2.5-10 cm,0,Smooth,0,"Base cuneate or broadly cuneate, rarely subrounded; apex abrupt or acute, rarely acuminate",0,,,Simple,0,,,,,,,,,20,
elaeagnus angustifolia,"Small, usually thorny tree",0,3-7(-10) m tall,0,Lanceolate,0,3-10 cm long,0,,,,,1 cm,1,Simple,0,,,"Globose-ovoid, globose, or subglobose",0,,,1–1.7 cm,1,21,
phellodendron amurense,Tree,0,10-30 m tall,0,Ovate to ovate-lanceolate,0,6-12 cm x 2.5-4.5 cm,0,,,"Apex acuminate, base not specified",0,,,Compound,0,,,Globose,0,,,,,20,
calocedrus decurrens,Tree,0,Up to 57 m tall,0,Rounded abaxially,0,3-14 mm (including long-decurrent base),0,"Fibrous, furrowed and ridged",0,"Apex acute (often abruptly), usually mucronate",0,,,compound,1,4 whorls,1,Oblong-ovate when closed,0,,,20-35mm,1,23,
metrosideros excelsa,Tree,0,21 m,0,Lanceolate to oblong,0,"2.5-10 cm long, 1-5.2 cm wide",0,Short thick trunk,0,Obtuse or acute at the apex,0,,,Simple,0,,,,,,,,,20,
salix caprea,Shrub or small tree,0,3-9 m tall,0,Obovate to suborbicular,0,5-13 cm x 2.5-5.5(-8) cm,0,,,,,,,Simple,0,0,1,small capsule,1,,, 5–10 mm,1,21,
fagus sylvatica,Tree,0,Up to 40 m tall,0,Elliptic to ovate,0,5-10 cm x 3-7 cm,1,"Usually smooth, gray",0,,,Not applicable,0,simple,1,Not applicable (simple leaves),0,,,Not applicable,0,,,22,
carpinus cordata,Tree,0,18 m tall,0,"Ovate, ovate-oblong, or obovate-oblong",0,8-15 cm x 4-5 cm,0,Scaly fissured,0,Apex acuminate or caudate-acuminate; base unequally cordate,0,,,Simple,0,,,,,,,,,20,
wrightia tinctoria,Small deciduous tree,0,3–15 m,1,Elliptic oblong or obovate,0,7.5-15 x 2.5-5.5 cm,0," smooth, yellowish-brown and about 10 mm thick,",1,"Apex acute or acuminate, base acute or rounded",0,6-8 mm,0,Simple,0,Not applicable (simple leaf),0,"cylindrical, long horn like",1,,,25-50 cm,0,24,
cedrela toona,Tree,0,18-20 m tall,0,"Lanceolate, elliptic-ovate",0,30-55 cm long,0,,,Acuminate,0,,,Compound (paripinnate),0, 10-14 pairs of leaflets,1,green capsules,1,,,c. 2 cm long,0,22,
schleichera oleosa,Tree,0,Up to 40 m high,0,Elliptic to obovate,0,,,"Brown to grey to blackish, cracked and slightly flaking",0,Base oblique to rounded; apex emarginate to obtuse (to shortly acuminate),0,,,"Compound, pinnate",0,2-4 leaflets,1,Broad ovoid to subglobular,0,,,2.5 -3 cm,1,22,
viola mandshurica,Herbaceous perennial,0,6-18 cm tall,0,"Oblong, ligulate, or ovate-lanceolate",0,"2-6 x 0.5-1.5 cm, accrescent after anthesis to 10 x 5 cm",0,,,"Base truncate or broadly cuneate, decurrent to petiole; apex obtuse or rounded",0,,,,,,,Oblong capsule,0,,,1-1.5 cm,0,20,
celtis laevigata,Tree,0,30 m,0,Lanceolate,0,4-8 cm,0,warty bark ,1,"Long-acuminate apex, broadly cuneate to rounded base",0,,,Simple,0,,,,,,,,,20,
dalbergia latifolia,Tree,0,Large tree,0,Broadly ovate or suborbicular,0,10-15 cm long,0,grey bark that peels in long fibres,1,"Obtuse, rarely emarginate",0,,,"Compound, pinnate",0,,,Oblong-lanceolate,0,,,,,21,
larix gmelinii,Tree,0,Trees to 35 m tall,0,needle-like,1,1.5-3 cm × 0.7-1 mm,0,"longitudinally fissured, scaly",0,,,Not applicable,0,,,,,ovoid or ovoid-oblong,0,Not applicable,0,1.2-4 cm,0,22,
aegle marmelos,Tree,0,10 m or so,0,Elliptic-ovate,0,5–14 cm ,1,"Sometimes with spines 2.5-5 cm long, shortly hairy",0,Obtusely acuminate,0,5 and 10 cm,1,Compound,0,3 leaflets,1,Globose,0,,,,,23,
acer platanoides,Tree,0,20–30 m,1, palmately lobed with five lobes,1,7-14 cm x 8-25 cm,1,grey-brown and shallowly grooved,1,Sharply acuminate lobes,0,Not applicable,0,Simple,0,Not applicable,0,double samara,1,Not applicable,0,3.5-5 cm,0,25,
prosopis chilensis,Tree,0,Up to 4 m high,0,,,20 cm long,1," thick, exhibiting cracks and vertical fissures",1,,,,,Compound,0,1-2 pairs per leaf,0,,,,,More than 10 mm broad,0,20,
lagerstroemia speciosa,Tree,0,7-18 m tall,0,Oblong or oblong-lanceolate,0,"Up to 30 cm long, 9 cm wide",0,"smooth, flaky light grey or cream-coloured bark",1,acute apex,1,,,Simple,0,Not applicable (simple leaves),0,ellipsoid or sub-globose,1,,,1.7-2 cm,0,23,
festuca costata,Perennial grass,0,0.6-1.7 m high,0,,,700-1000 mm x 3.5-6.0 mm,0,Not applicable,0,,,,,Simple,0,Not applicable,0,,,,,,,19,
washingtonia filifera,Tree,0,Up to 24 m tall,0,"Circular in outline, divided from the middle into segments",0,4 m long,1,columnar trunk and waxy,1,"petioles are pure green with yellow edges and filifera-filaments, between the segments",1,,,"Compound, palmate",0,,,,,,,,,20,
abies pindrow,Tree,0,Up to 30 m tall or more,0,"needle-like,",1,2-4 cm long,0,Fissured,0, arranged spirally on shoots but twisted at base to lie in flat plane on shoot,1,3-4 cm,1,simple (needles),1,,,broad cylindric-conic,1,Not applicable,0,7-14 cm,1,24,
sorbus aucuparia,Tree,0,10-15 m,0,Lanceolate,0,20 cm x 8-12 cm,1,Smooth bark,0,"sharply serrated edge, and have short stems or sit close to the central vein ",0,8-10 mm,1,"Compound,pinnate",0,4 to 9 pairs of leaflets,1,round pomes,1,,,,,23,
citharexylum spinosum,Shrub or small tree,0,Up to 15 m,0,"Ovate-lanceolate, elliptic or elliptic-oblong",0,3.5-29 cm x 1-11.5 cm,0,,,,,7–10 mm,1,,,,,Oblong,0,,,Approximately 8 mm,0,20,
fraxinus excelsior,Tree,0,25-40 m,0,"coarsely serrated margins, elliptic to narrowly elliptic",1,20–35 cm long,1,Greenish-gray,0,,,5–8 mm (0.20–0.31 in) broad,1,pinnately compound,1,4-6 pairs,0,,,,, 2.5–4.5 cm (0.98–1.77 in) long,1,22,
chloroxylon swietenia,Tree,0,Up to 8 m or more,0,,, ,0,,,,,,,,,,,Oblong,0,,,,,17,
washingtonia robusta,Tree,0,10-17 m tall,0,,,1 m long,1,,,,,6–8 mm,1,"Compound, palmate",1,,,"spherical, blue-black drupe",1,,,,,19,
pittosporum undulatum,Tree or shrub,0,3-6 m,0,lanceolate,1,,,,,,,1 cm diameter,1,,,,,spheroid,1,,,,,17,
xylia xylocarpa,Tree,0,,,,,,, yellowish-white and thick outer layer,1,,,3.5-5.3 cm,0,,,4-6 pairs of leaflets,0,,,,,,,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,210,210,209,209,205,205,204,204,199,199,189,189,180,180,203,203,191,191,199,199,168,168,186,186,5072,5250
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,178,
